DateTime,Temp_int,Temp_ext,SolarRad_ext,PAR_int
18/06/2015 00:00,20.02,16.7,0,0
18/06/2015 00:10,19.92,16.5,0,0
18/06/2015 00:20,19.86,16.4,0,0
18/06/2015 00:30,19.74,16.2,0,-0.338
18/06/2015 00:40,19.6,16.2,0,0
18/06/2015 00:50,19.57,16.1,0,0
18/06/2015 01:00,19.48,16,0,0
18/06/2015 01:10,19.45,15.9,0,-0.338
18/06/2015 01:20,19.29,15.8,0,0
18/06/2015 01:30,19.03,15.7,0,0
18/06/2015 01:40,19.06,15.6,0,0
18/06/2015 01:50,18.89,15.4,0,0.338
18/06/2015 02:00,18.75,15.3,0,0
18/06/2015 02:10,18.72,15.2,0,0
18/06/2015 02:20,18.71,15.1,0,0
18/06/2015 02:30,18.52,15.2,0,0
18/06/2015 02:40,18.59,15.1,0,0
18/06/2015 02:50,18.56,15,0,0
18/06/2015 03:00,18.36,15,0,0
18/06/2015 03:10,18.39,14.9,0,-0.338
18/06/2015 03:20,18.2,14.8,0,0
18/06/2015 03:30,18.15,14.7,0,0
18/06/2015 03:40,18.15,14.6,0,0
18/06/2015 03:50,18.01,14.6,0,0
18/06/2015 04:00,18.06,14.5,0,0
18/06/2015 04:10,18.03,14.5,0,0
18/06/2015 04:20,17.9,14.5,0,0.338
18/06/2015 04:30,17.9,14.4,0,-0.338
18/06/2015 04:40,17.85,14.3,0,0
18/06/2015 04:50,17.78,14.2,0,0
18/06/2015 05:00,17.8,14.1,0,0
18/06/2015 05:10,17.68,14,0,0
18/06/2015 05:20,17.54,14,0,0.338
18/06/2015 05:30,17.43,13.9,0,-0.338
18/06/2015 05:40,17.38,14,0,-0.338
18/06/2015 05:50,17.43,13.9,0,-0.338
18/06/2015 06:00,17.2,13.7,2,0.338
18/06/2015 06:10,17.19,13.7,6,0.676
18/06/2015 06:20,17.12,13.6,14,1.353
18/06/2015 06:30,17.09,14,28,2.368
18/06/2015 06:40,17.01,14.3,43,4.06
18/06/2015 06:50,17.06,14.7,61,5.074
18/06/2015 07:00,17.12,15.1,81,6.766
18/06/2015 07:10,17.22,15.5,59,9.13
18/06/2015 07:20,17.28,15.9,127,10.49
18/06/2015 07:30,17.46,16.5,148,14.55
18/06/2015 07:40,17.88,16.9,173,16.58
18/06/2015 07:50,18.45,17.1,200,20.3
18/06/2015 08:00,18.9,17.9,225,24.02
18/06/2015 08:10,19.18,18.5,252,29.09
18/06/2015 08:20,19.81,19.3,278,35.18
18/06/2015 08:30,19.99,20,299,46.68
18/06/2015 08:40,20.76,20.2,326,49.04
18/06/2015 08:50,21.63,20.5,349,57.16
18/06/2015 09:00,21.87,21.1,376,75.1
18/06/2015 09:10,22.49,21.1,402,65.28
18/06/2015 09:20,22.97,22.1,432,66.62
18/06/2015 09:30,23.39,22.7,457,71.7
18/06/2015 09:40,23.86,23.3,487,75.8
18/06/2015 09:50,24.37,23,510,91
18/06/2015 10:00,24.99,24,534,84.9
18/06/2015 10:10,25.48,23.7,559,112.9
18/06/2015 10:20,25.64,23.8,577,148.7
18/06/2015 10:30,26.42,24.7,593,166
18/06/2015 10:40,26.7,24.6,620,208.2
18/06/2015 10:50,27.41,24.8,645,193
18/06/2015 11:00,26.48,25.7,661,118.6
18/06/2015 11:10,26.25,25.8,681,119.6
18/06/2015 11:20,26.47,26.5,702,125
18/06/2015 11:30,26.7,25.4,699,129.4
18/06/2015 11:40,26.25,27.5,742,129.1
18/06/2015 11:50,26.23,25.4,791,132.1
18/06/2015 12:00,26.42,25.9,800,148.7
18/06/2015 12:10,26.67,27,281,229.1
18/06/2015 12:20,27,27.5,896,248.6
18/06/2015 12:30,26.74,25.4,927,159.8
18/06/2015 12:40,26.75,28.7,994,247.3
18/06/2015 12:50,27.31,25.8,375,282.1
18/06/2015 13:00,26.65,25.1,272,91.2
18/06/2015 13:10,26.04,24.4,227,57.09
18/06/2015 13:20,26.1,24.3,260,50.34
18/06/2015 13:30,26.31,24.6,340,60.81
18/06/2015 13:40,26.7,24.7,381,85.5
18/06/2015 13:50,26.74,24.8,302,90.9
18/06/2015 14:00,26.81,24.2,210,66.55
18/06/2015 14:10,26.24,23.6,235,42.91
18/06/2015 14:20,25.77,23.9,349,51.01
18/06/2015 14:30,25.85,24.1,314,87.9
18/06/2015 14:40,26.24,24.2,272,76
18/06/2015 14:50,26.49,24,279,65.55
18/06/2015 15:00,26.34,24.6,311,68.25
18/06/2015 15:10,26.47,24.6,227,78.4
18/06/2015 15:20,26.31,24.5,302,48.32
18/06/2015 15:30,26.28,24.6,288,69.61
18/06/2015 15:40,26.53,24.3,239,72.3
18/06/2015 15:50,26.39,24.3,266,53.05
18/06/2015 16:00,26.02,24.5,288,62.51
18/06/2015 16:10,26.13,25,225,70.6
18/06/2015 16:20,26.7,24.6,283,48.32
18/06/2015 16:30,26.24,24.9,800,65.89
18/06/2015 16:40,26.61,26.6,682,360.2
18/06/2015 16:50,27.5,28,876,244
18/06/2015 17:00,27.84,26.1,432,105.4
18/06/2015 17:10,27.92,25.4,354,84.8
18/06/2015 17:20,27.59,25.8,764,105.1
18/06/2015 17:30,27.39,25.3,307,206.8
18/06/2015 17:40,26.98,25.5,311,126.7
18/06/2015 17:50,27,25.3,336,78
18/06/2015 18:00,27.12,24.5,541,82.1
18/06/2015 18:10,26.43,24,457,156.1
18/06/2015 18:20,26.52,23.8,428,141.6
18/06/2015 18:30,26.36,23.5,401,98
18/06/2015 18:40,26.39,23.5,372,84.5
18/06/2015 18:50,26.15,23.1,354,93.9
18/06/2015 19:00,26.25,23,325,67.57
18/06/2015 19:10,26.61,22.7,300,58.79
18/06/2015 19:20,26.51,22.6,271,52.7
18/06/2015 19:30,26.39,22.2,249,45.62
18/06/2015 19:40,26.54,21.7,226,39.86
18/06/2015 19:50,26.55,21.6,202,35.82
18/06/2015 20:00,26.16,21.2,177,30.41
18/06/2015 20:10,26.05,21.3,156,27.71
18/06/2015 20:20,25.84,20.7,134,23.99
18/06/2015 20:30,25.55,19.9,114,21.63
18/06/2015 20:40,24.78,19.8,93,17.57
18/06/2015 20:50,24.28,19.4,75,14.87
18/06/2015 21:00,24.12,18.8,48,12.16
18/06/2015 21:10,23.38,18.1,21,7.1
18/06/2015 21:20,22.63,17.7,14,4.731
18/06/2015 21:30,22.11,17.4,8,3.717
18/06/2015 21:40,21.66,17.3,3,1.69
18/06/2015 21:50,21.29,17.4,1,1.014
18/06/2015 22:00,20.94,17.4,0,0.676
18/06/2015 22:10,20.98,17.3,0,0
18/06/2015 22:20,20.81,17.3,0,0
18/06/2015 22:30,20.47,17.3,0,0
18/06/2015 22:40,20.27,17.4,0,0
18/06/2015 22:50,20.31,17.5,0,-0.338
18/06/2015 23:00,20.45,17.5,0,0
18/06/2015 23:10,20.17,17.5,0,0
18/06/2015 23:20,19.93,17.6,0,0
18/06/2015 23:30,20.11,17.6,0,-0.338
18/06/2015 23:40,20.21,17.6,0,0
18/06/2015 23:50,20.24,17.5,0,0
22/06/2015 00:00,22.39,,,0
22/06/2015 00:10,22.16,,,0
22/06/2015 00:20,21.99,,,0
22/06/2015 00:30,21.85,,,0.338
22/06/2015 00:40,21.71,,,0
22/06/2015 00:50,21.64,,,0
22/06/2015 01:00,21.49,,,0
22/06/2015 01:10,21.39,,,0
22/06/2015 01:20,21.29,,,0.338
22/06/2015 01:30,21.22,,,0
22/06/2015 01:40,21.08,,,0
22/06/2015 01:50,20.93,,,0
22/06/2015 02:00,20.94,,,0
22/06/2015 02:10,20.81,,,0
22/06/2015 02:20,20.71,,,0
22/06/2015 02:30,20.44,,,0
22/06/2015 02:40,20.32,,,0
22/06/2015 02:50,20.25,,,-0.338
22/06/2015 03:00,20.12,,,0
22/06/2015 03:10,20.04,,,0
22/06/2015 03:20,20.05,,,0
22/06/2015 03:30,19.98,,,0
22/06/2015 03:40,19.94,,,0
22/06/2015 03:50,19.78,,,0
22/06/2015 04:00,19.75,,,0
22/06/2015 04:10,19.63,,,0
22/06/2015 04:20,19.63,,,0
22/06/2015 04:30,19.48,,,-0.338
22/06/2015 04:40,19.4,,,0.338
22/06/2015 04:50,19.32,,,0
22/06/2015 05:00,19.27,,,0
22/06/2015 05:10,19.25,,,0.338
22/06/2015 05:20,19.17,,,0
22/06/2015 05:30,19,,,0.338
22/06/2015 05:40,18.97,,,0
22/06/2015 05:50,18.71,,,0.338
22/06/2015 06:00,18.61,,,0
22/06/2015 06:10,18.64,,,0
22/06/2015 06:20,18.64,,,1.353
22/06/2015 06:30,18.58,,,1.691
22/06/2015 06:40,18.56,,,2.368
22/06/2015 06:50,18.55,,,3.721
22/06/2015 07:00,18.53,,,6.088
22/06/2015 07:10,18.64,,,7.44
22/06/2015 07:20,18.79,,,10.82
22/06/2015 07:30,19.11,,,13.87
22/06/2015 07:40,19.31,,,16.24
22/06/2015 07:50,19.69,,,19.62
22/06/2015 08:00,20.31,,,23
22/06/2015 08:10,20.74,,,28.07
22/06/2015 08:20,21.28,,,34.84
22/06/2015 08:30,21.76,,,45.66
22/06/2015 08:40,22.56,,,50.39
22/06/2015 08:50,23.01,,,59.52
22/06/2015 09:00,23.54,,,74.7
22/06/2015 09:10,23.93,,,66.28
22/06/2015 09:20,24.66,,,68.3
22/06/2015 09:30,25.22,,,72
22/06/2015 09:40,25.79,,,75.4
22/06/2015 09:50,26.34,,,97.7
22/06/2015 10:00,26.75,,,83.8
22/06/2015 10:10,27.37,,,110.9
22/06/2015 10:20,26.74,,,153.5
22/06/2015 10:30,26.75,,,198.4
22/06/2015 10:40,26.85,,,230.5
22/06/2015 10:50,27.02,,,184.9
22/06/2015 11:00,27.09,,,116.9
22/06/2015 11:10,27.54,,,113.2
22/06/2015 11:20,27.73,,,118.3
22/06/2015 11:30,27.63,,,121
22/06/2015 11:40,28.55,,,126.4
22/06/2015 11:50,29.08,,,129.4
22/06/2015 12:00,28.68,,,134.1
22/06/2015 12:10,28.81,,,203.3
22/06/2015 12:20,29.45,,,267.2
22/06/2015 12:30,29.43,,,150.7
22/06/2015 12:40,29.7,,,193.2
22/06/2015 12:50,29.45,,,264.1
22/06/2015 13:00,29.96,,,314.1
22/06/2015 13:10,29.97,,,367.1
22/06/2015 13:20,30.07,,,158.4
22/06/2015 13:30,30.12,,,158.4
22/06/2015 13:40,30.06,,,168.9
22/06/2015 13:50,30.75,,,205.7
22/06/2015 14:00,30.92,,,313
22/06/2015 14:10,31.37,,,280.3
22/06/2015 14:20,30.64,,,353.5
22/06/2015 14:30,30.72,,,405.2
22/06/2015 14:40,30.9,,,322.1
22/06/2015 14:50,30.8,,,311
22/06/2015 15:00,31.52,,,428.2
22/06/2015 15:10,31.8,,,308
22/06/2015 15:20,31.71,,,257.3
22/06/2015 15:30,31.52,,,355.6
22/06/2015 15:40,32.13,,,250.2
22/06/2015 15:50,32.19,,,235.3
22/06/2015 16:00,32.21,,,165.4
22/06/2015 16:10,31.8,,,181.3
22/06/2015 16:20,31.69,,,160.4
22/06/2015 16:30,31.75,,,285.3
22/06/2015 16:40,31.74,,,300.1
22/06/2015 16:50,31.94,,,230.6
22/06/2015 17:00,31.59,,,197.2
22/06/2015 17:10,31.48,,,200.9
22/06/2015 17:20,31.1,,,162.4
22/06/2015 17:30,30.75,,,179.3
22/06/2015 17:40,31.1,,,164.4
22/06/2015 17:50,30.9,,,224.2
22/06/2015 18:00,30.82,,,198.2
22/06/2015 18:10,30.82,,,114.5
22/06/2015 18:20,30.63,,,148.6
22/06/2015 18:30,30.6,,,105.7
22/06/2015 18:40,30.61,,,89.5
22/06/2015 18:50,30.37,,,98.3
22/06/2015 19:00,30.31,,,70.2
22/06/2015 19:10,29.99,,,61.79
22/06/2015 19:20,30.03,,,54.36
22/06/2015 19:30,29.57,,,46.94
22/06/2015 19:40,29.49,,,41.2
22/06/2015 19:50,29.14,,,36.47
22/06/2015 20:00,28.81,,,31.75
22/06/2015 20:10,28.55,,,28.71
22/06/2015 20:20,28.22,,,22.97
22/06/2015 20:30,27.8,,,21.61
22/06/2015 20:40,27.14,,,18.24
22/06/2015 20:50,26.81,,,14.52
22/06/2015 21:00,26.07,,,12.5
22/06/2015 21:10,25.71,,,10.47
22/06/2015 21:20,25.41,,,4.729
22/06/2015 21:30,25.22,,,2.702
22/06/2015 21:40,24.76,,,2.027
22/06/2015 21:50,24.36,,,0.676
22/06/2015 22:00,24.08,,,0.338
22/06/2015 22:10,23.69,,,0.338
22/06/2015 22:20,23.4,,,0
22/06/2015 22:30,22.91,,,0
22/06/2015 22:40,22.73,,,0
22/06/2015 22:50,22.33,,,0
22/06/2015 23:00,22.14,,,0
22/06/2015 23:10,21.99,,,0
22/06/2015 23:20,21.8,,,-0.338
22/06/2015 23:30,21.49,,,0.338
22/06/2015 23:40,21.31,,,0
22/06/2015 23:50,21.2,,,0
24/06/2015 00:00,20.52,,,0
24/06/2015 00:10,20.48,,,0
24/06/2015 00:20,20.13,,,0
24/06/2015 00:30,20.12,,,0
24/06/2015 00:40,20.05,,,0
24/06/2015 00:50,19.84,,,0
24/06/2015 01:00,19.6,,,0.338
24/06/2015 01:10,19.6,,,0
24/06/2015 01:20,19.47,,,0
24/06/2015 01:30,19.38,,,0
24/06/2015 01:40,19.29,,,0.338
24/06/2015 01:50,19.17,,,0
24/06/2015 02:00,18.98,,,0
24/06/2015 02:10,18.93,,,0
24/06/2015 02:20,18.71,,,0
24/06/2015 02:30,18.75,,,0
24/06/2015 02:40,18.69,,,0
24/06/2015 02:50,18.56,,,0
24/06/2015 03:00,18.34,,,0
24/06/2015 03:10,18.23,,,0.338
24/06/2015 03:20,18.19,,,0
24/06/2015 03:30,17.88,,,0
24/06/2015 03:40,17.72,,,0
24/06/2015 03:50,17.65,,,0
24/06/2015 04:00,17.55,,,0
24/06/2015 04:10,17.47,,,0
24/06/2015 04:20,17.54,,,0
24/06/2015 04:30,17.35,,,0.338
24/06/2015 04:40,17.42,,,0
24/06/2015 04:50,17.37,,,0.338
24/06/2015 05:00,17.29,,,0
24/06/2015 05:10,17.12,,,0
24/06/2015 05:20,16.94,,,0
24/06/2015 05:30,16.81,,,0
24/06/2015 05:40,16.87,,,0
24/06/2015 05:50,16.59,,,0
24/06/2015 06:00,16.66,,,0
24/06/2015 06:10,16.53,,,0
24/06/2015 06:20,16.49,,,0.677
24/06/2015 06:30,16.37,,,2.03
24/06/2015 06:40,16.37,,,3.384
24/06/2015 06:50,16.52,,,5.075
24/06/2015 07:00,16.85,,,6.429
24/06/2015 07:10,17.01,,,8.46
24/06/2015 07:20,17.25,,,10.15
24/06/2015 07:30,17.55,,,13.2
24/06/2015 07:40,17.89,,,16.58
24/06/2015 07:50,18.34,,,19.96
24/06/2015 08:00,18.7,,,23.35
24/06/2015 08:10,19.08,,,27.74
24/06/2015 08:20,19.41,,,33.49
24/06/2015 08:30,19.69,,,46.68
24/06/2015 08:40,20.46,,,52.44
24/06/2015 08:50,20.96,,,58.86
24/06/2015 09:00,21.39,,,75.1
24/06/2015 09:10,22.2,,,68.66
24/06/2015 09:20,22.44,,,68.32
24/06/2015 09:30,22.9,,,71.7
24/06/2015 09:40,23.65,,,75.1
24/06/2015 09:50,24.09,,,97
24/06/2015 10:00,24.46,,,83.2
24/06/2015 10:10,25.04,,,110.6
24/06/2015 10:20,25.65,,,157.5
24/06/2015 10:30,26.21,,,206.2
24/06/2015 10:40,26.82,,,234.9
24/06/2015 10:50,27.16,,,185.2
24/06/2015 11:00,26.78,,,114.9
24/06/2015 11:10,26.89,,,117.9
24/06/2015 11:20,26.79,,,119.3
24/06/2015 11:30,26.82,,,127.1
24/06/2015 11:40,26.94,,,125.4
24/06/2015 11:50,26.97,,,130.4
24/06/2015 12:00,27.13,,,136.8
24/06/2015 12:10,26.66,,,185.5
24/06/2015 12:20,27.13,,,277.1
24/06/2015 12:30,26.7,,,152.7
24/06/2015 12:40,27.89,,,176.4
24/06/2015 12:50,27.81,,,273.6
24/06/2015 13:00,28.34,,,335.5
24/06/2015 13:10,28.03,,,392.9
24/06/2015 13:20,27.89,,,159.1
24/06/2015 13:30,28.41,,,157.8
24/06/2015 13:40,27.64,,,163.5
24/06/2015 13:50,27.88,,,193.2
24/06/2015 14:00,28,,,318.9
24/06/2015 14:10,29.03,,,288.8
24/06/2015 14:20,28.87,,,335.1
24/06/2015 14:30,28.3,,,416.5
24/06/2015 14:40,28.54,,,317.8
24/06/2015 14:50,28.45,,,304.3
24/06/2015 15:00,28.68,,,439.7
24/06/2015 15:10,28.87,,,319.5
24/06/2015 15:20,28.81,,,263.4
24/06/2015 15:30,29.19,,,369.5
24/06/2015 15:40,29.18,,,273.2
24/06/2015 15:50,29.31,,,270.5
24/06/2015 16:00,28.69,,,154.7
24/06/2015 16:10,29.08,,,172.9
24/06/2015 16:20,29.5,,,148.9
24/06/2015 16:30,29.53,,,308.3
24/06/2015 16:40,30.46,,,286.1
24/06/2015 16:50,29.58,,,217.8
24/06/2015 17:00,29.63,,,209.4
24/06/2015 17:10,31.11,,,214.5
24/06/2015 17:20,30.37,,,214.5
24/06/2015 17:30,30.58,,,198.2
24/06/2015 17:40,30.04,,,174.3
24/06/2015 17:50,29.94,,,197.9
24/06/2015 18:00,30.18,,,214.5
24/06/2015 18:10,29.84,,,117.5
24/06/2015 18:20,30.3,,,137.5
24/06/2015 18:30,30.13,,,105.7
24/06/2015 18:40,30.67,,,87.1
24/06/2015 18:50,29.91,,,104.4
24/06/2015 19:00,29.66,,,67.88
24/06/2015 19:10,29.81,,,60.79
24/06/2015 19:20,30.06,,,52.68
24/06/2015 19:30,29.97,,,45.26
24/06/2015 19:40,29.64,,,39.86
24/06/2015 19:50,29.69,,,34.79
24/06/2015 20:00,29.66,,,30.74
24/06/2015 20:10,29.52,,,27.36
24/06/2015 20:20,29.19,,,24.32
24/06/2015 20:30,28.95,,,21.62
24/06/2015 20:40,28.8,,,18.24
24/06/2015 20:50,28.38,,,14.86
24/06/2015 21:00,27.92,,,12.16
24/06/2015 21:10,27.42,,,8.78
24/06/2015 21:20,26.77,,,5.742
24/06/2015 21:30,26.07,,,3.378
24/06/2015 21:40,25.81,,,1.689
24/06/2015 21:50,25.45,,,0.676
24/06/2015 22:00,25.2,,,0.676
24/06/2015 22:10,24.85,,,0
24/06/2015 22:20,24.59,,,0
24/06/2015 22:30,24.19,,,0
24/06/2015 22:40,23.9,,,0
24/06/2015 22:50,23.7,,,0
24/06/2015 23:00,23.42,,,0
24/06/2015 23:10,23.36,,,0
24/06/2015 23:20,23.22,,,0
24/06/2015 23:30,23.13,,,0
24/06/2015 23:40,22.71,,,0
24/06/2015 23:50,22.63,,,0
05/08/2015 00:00,21.81,19.2,0,-0.338
05/08/2015 00:10,21.62,19,0,0
05/08/2015 00:20,21.44,18.8,0,0
05/08/2015 00:30,21.29,18.6,0,0
05/08/2015 00:40,21.12,18.5,0,0
05/08/2015 00:50,21.03,18.4,0,0
05/08/2015 01:00,20.89,18.2,0,0
05/08/2015 01:10,20.83,18.1,0,0
05/08/2015 01:20,20.51,17.7,0,0
05/08/2015 01:30,20.39,17.7,0,0
05/08/2015 01:40,20.23,17.7,0,0
05/08/2015 01:50,20.1,17.4,0,0
05/08/2015 02:00,20.1,17.8,0,-0.338
05/08/2015 02:10,19.99,17.8,0,0.338
05/08/2015 02:20,20,17.4,0,-0.338
05/08/2015 02:30,19.95,17.6,0,-0.338
05/08/2015 02:40,19.88,17.6,0,0
05/08/2015 02:50,19.8,17.5,0,0
05/08/2015 03:00,19.78,17.4,0,0
05/08/2015 03:10,19.71,17.2,0,-0.338
05/08/2015 03:20,19.69,17.2,0,0
05/08/2015 03:30,19.68,17,0,0
05/08/2015 03:40,19.61,16.9,0,-0.338
05/08/2015 03:50,19.57,16.9,0,0.338
05/08/2015 04:00,19.6,17,0,0
05/08/2015 04:10,19.6,17,0,0
05/08/2015 04:20,19.49,16.9,0,0
05/08/2015 04:30,19.49,16.9,0,0
05/08/2015 04:40,19.47,16.7,0,0
05/08/2015 04:50,19.24,16.7,0,-0.338
05/08/2015 05:00,19.25,16.6,0,-0.338
05/08/2015 05:10,19.22,16.5,0,0
05/08/2015 05:20,19.24,16.4,0,0.338
05/08/2015 05:30,19,16.4,0,0
05/08/2015 05:40,18.95,16.3,0,0
05/08/2015 05:50,18.89,16.5,0,0
05/08/2015 06:00,18.78,16.5,0,0.338
05/08/2015 06:10,18.79,16.3,0,-0.338
05/08/2015 06:20,18.8,16.2,0,0
05/08/2015 06:30,18.73,16.5,1,0
05/08/2015 06:40,18.75,16.5,3,0.338
05/08/2015 06:50,18.72,16.5,8,1.015
05/08/2015 07:00,18.82,16.9,21,1.015
05/08/2015 07:10,18.79,17.2,36,3.046
05/08/2015 07:20,18.85,17.4,32,4.739
05/08/2015 07:30,18.92,17.5,69,5.754
05/08/2015 07:40,18.96,18,95,8.46
05/08/2015 07:50,18.97,18.5,117,11.51
05/08/2015 08:00,19.05,18.8,136,13.88
05/08/2015 08:10,19.31,19.1,165,17.26
05/08/2015 08:20,19.64,19.5,195,21.32
05/08/2015 08:30,19.85,19.8,224,25.05
05/08/2015 08:40,20.21,20.4,253,31.82
05/08/2015 08:50,20.57,21,278,37.91
05/08/2015 09:00,20.86,22.2,307,47.39
05/08/2015 09:10,21.51,22.2,335,50.09
05/08/2015 09:20,22.2,22.7,363,67.35
05/08/2015 09:30,22.58,22.7,390,75.1
05/08/2015 09:40,23.27,23.2,415,65.99
05/08/2015 09:50,23.73,23.8,444,84.9
05/08/2015 10:00,24.03,24,468,95.4
05/08/2015 10:10,24.63,24.6,496,77.5
05/08/2015 10:20,25.3,25.3,518,80.5
05/08/2015 10:30,25.67,25.9,542,105.2
05/08/2015 10:40,25.97,26.8,564,90.7
05/08/2015 10:50,26.51,26.8,589,97.1
05/08/2015 11:00,26.98,26.9,610,197.5
05/08/2015 11:10,27.47,28.1,630,132.6
05/08/2015 11:20,27.8,29.4,649,123.8
05/08/2015 11:30,28.24,30,668,201.2
05/08/2015 11:40,28.89,29.9,684,161
05/08/2015 11:50,28.98,29.3,700,120.7
05/08/2015 12:00,29.71,29.5,714,121.4
05/08/2015 12:10,29.8,30.2,728,129.2
05/08/2015 12:20,29.96,30,743,177.2
05/08/2015 12:30,30.21,30.2,754,216.1
05/08/2015 12:40,30.45,30.8,764,141.7
05/08/2015 12:50,30.99,31.4,774,152.8
05/08/2015 13:00,31.2,32,783,212.3
05/08/2015 13:10,31.16,31.9,790,329.6
05/08/2015 13:20,31.37,32.7,796,151.4
05/08/2015 13:30,31.28,33,799,145.7
05/08/2015 13:40,31.75,32.9,802,149.4
05/08/2015 13:50,31.74,32.9,802,162.9
05/08/2015 14:00,32.09,33.6,802,277.8
05/08/2015 14:10,32.11,33.2,802,266.3
05/08/2015 14:20,32.25,33.5,800,392.4
05/08/2015 14:30,32.36,33,795,309.2
05/08/2015 14:40,32.84,33.7,789,197
05/08/2015 14:50,33.02,33.5,783,196
05/08/2015 15:00,33.38,34.7,775,371.7
05/08/2015 15:10,33.54,34.8,776,301.4
05/08/2015 15:20,33.99,34.4,783,268.3
05/08/2015 15:30,34.62,34.6,797,279.4
05/08/2015 15:40,34.67,34.6,816,273
05/08/2015 15:50,37.36,34.9,786,172.7
05/08/2015 16:00,36.49,34.8,708,203
05/08/2015 16:10,37.15,34.9,687,153
05/08/2015 16:20,38.19,35.7,667,230.4
05/08/2015 16:30,38.05,34.8,645,249.3
05/08/2015 16:40,37.27,34.8,628,201.4
05/08/2015 16:50,36.6,34.1,606,136.5
05/08/2015 17:00,37.93,33.6,589,252.7
